Code Departamento,distanciaRio,hayRioCercano,tipoDeSuelo,estacion,temperature_2m,total_evaporation_sum,volumetric_soil_water_layer_1,precipitation_1,precipitation_2,precipitation_3,precipitation_4,precipitation_5,precipitation_6,precipitation_7,seInunda
06714,17.53,False,Molisoles,invierno,11.095121637980185,1.2756995856761,0.4850215911865234,19.3,0.0,5.6,6.7,0.0,0.0,0.0,1
06497,7.25,False,Complejo indiferenci,invierno,13.416033045450888,1.8885657191276,0.4383424123128255,0.0,0.0,3.4,15.1,1.5,12.1,52.8,1
06126,0.02,True,Rio,invierno,14.445818201700888,1.9290316849946,0.5034173329671224,0.0,0.0,2.7,43.1,7.8,5.8,19.3,1
06638,12.77,False,Molisoles,invierno,13.613135910034202,1.8884073942899,0.420267105102539,0.0,0.0,2.1,17.3,0.7,9.3,38.0,1
06490,5.53,False,Miscelaneas,invierno,13.797706222534202,1.8374789506196,0.4157314300537109,0.0,0.0,0.6,15.5,1.7,12.7,24.3,1
06497,7.25,False,Complejo indiferenci,invierno,13.416033045450888,1.8885657191276,0.4383424123128255,0.0,0.0,3.4,15.1,1.5,12.1,52.8,1
06882,3.88,True,Rio,invierno,14.254005050659202,2.0089857280254,0.5278828938802084,0.0,0.0,2.7,40.3,2.9,3.8,34.7,1
06735,2.81,True,Molisoles,invierno,13.571062342325888,2.0000804215668997,0.4536024729410807,0.0,0.0,6.3,19.8,0.9,11.4,56.8,1
06638,12.77,False,Molisoles,primavera,15.482814407348656,1.4757756143808,0.4653326670328776,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1
06490,5.53,False,Miscelaneas,primavera,16.15241076151534,1.7813146114349,0.4735552469889323,24.1,0.0,0.0,0.0,0.0,0.0,0.0,1
06245,6.45,False,Miscelaneas,primavera,25.377533849080407,5.0736833363770995,0.3232288360595703,8.1,15.3,32.6,0.0,0.0,0.1,17.6,1
06749,5.62,False,Rio,primavera,25.968272781372093,5.7757962495088,0.3831907908121745,1.5,15.2,47.1,0.0,0.0,1.2,26.0,1
06749,5.62,False,Rio,primavera,25.968272781372093,5.7757962495088,0.3831907908121745,1.5,15.2,47.1,0.0,0.0,1.2,26.0,1
06196,88.06,False,Molisoles,primavera,18.999278640747093,1.6173925250768,0.409463882446289,61.1,0.0,0.0,0.0,0.0,0.0,3.7,1
06112,27.83,False,Molisoles,primavera,25.131195958455407,3.5536661744117,0.2201576232910156,5.2,96.6,20.1,0.0,1.1,0.2,19.9,1
06497,7.25,False,Complejo indiferenci,primavera,25.87053515116378,4.2705833911895,0.3156960805257161,5.1,37.2,37.9,0.0,0.0,0.2,22.1,1
62021,0.07,True,Inceptisoles,otoño,4.1604572296142805,0.36691315472126007,0.4661979675292969,21.9,61.8,12.6,13.3,20.9,6.5,0.0,1
14161,4.53,True,Complejo indiferenci,verano,28.2617069244385,2.2096578031778003,0.1773465474446614,0.0,0.0,0.0,0.0,0.0,2.7,0.4,1
14091,28.57,False,Molisoles,primavera,23.450488026936853,3.182303160429,0.2366879781087239,0.1,7.1,4.4,9.5,13.8,8.9,1.3,1
30042,6.85,False,Molisoles,primavera,18.347523625691736,5.6812260299921,0.4363187154134114,0.0,0.0,0.0,0.0,0.3,89.8,65.9,1
30028,7.52,False,Molisoles,primavera,18.27175865173342,5.7091973721980995,0.2492307027180989,0.0,0.0,0.0,0.0,0.2,61.2,93.3,1
30028,7.52,False,Molisoles,primavera,18.27175865173342,5.7091973721980995,0.2492307027180989,0.0,0.0,0.0,0.0,0.2,61.2,93.3,1
30035,25.83,False,Vertisoles,primavera,18.243601099650107,5.637435242533599,0.4358539581298828,0.0,0.0,0.0,0.0,1.4,56.3,54.3,1
06581,63.08,False,Molisoles,invierno,17.491951878865564,1.8696319311857,0.260257085164388,0.0,0.0,0.0,8.3,11.4,42.0,0.3,1
82063,23.73,False,Molisoles,invierno,19.970933532714866,1.415628939867,0.4578196207682292,0.3,5.5,1.5,4.0,0.0,0.0,0.0,1
82063,23.73,False,Molisoles,invierno,11.066154098510765,1.7805220559239,0.4533920288085937,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1
34014,9.62,False,Rio,invierno,11.305247879028343,1.240661367774,0.4060694376627604,0.0,0.0,1.5,4.9,1.0,26.8,22.8,1
82063,23.73,False,Molisoles,invierno,6.152912394205771,1.2448094785213,0.3424428304036458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
06441,23.31,False,Complejo indiferenci,invierno,6.424820200602255,0.7617417722940445,0.3726463317871094,0.0,9.4,1.4,47.2,0.0,0.0,0.0,1
22140,11.88,False,Complejo indiferenci,invierno,13.750252024332724,0.7943920791149139,0.3724924723307292,0.0,0.0,0.0,0.0,1.4,0.0,0.0,1
22126,13.09,False,Molisoles,invierno,14.166755930582724,1.1225156486034,0.4460366566975911,0.3,0.2,0.0,0.0,1.1,0.0,0.0,1
90091,1.11,True,Entisoles,verano,25.878922398885095,4.0167309343814,0.3758220672607422,2.4,2.8,0.6,1.6,1.3,9.1,11.0,1
10077,15.08,False,Roca,verano,21.219010289510095,3.4175794571638,0.3829078674316406,13.1,17.3,10.0,10.1,16.1,24.1,15.7,1
10021,15.51,False,Entisoles,verano,19.088313674926837,3.3316165208816,0.4615643819173177,3.7,2.1,1.1,0.9,1.6,10.8,3.9,1
