Unnamed: 0,timeend,valor,rio_id,lat,lon
212935,2021-07-07,1.47,9410-2823,-25.2677777777778,-65.2372222222222
212936,2021-07-08,1.44,9410-2823,-25.2677777777778,-65.2372222222222
212937,2021-07-09,1.43,9410-2823,-25.2677777777778,-65.2372222222222
212938,2021-07-10,1.41,9410-2823,-25.2677777777778,-65.2372222222222
212939,2021-07-11,1.42,9410-2823,-25.2677777777778,-65.2372222222222
212940,2021-07-12,1.49,9410-2823,-25.2677777777778,-65.2372222222222
212941,2021-07-13,1.48,9410-2823,-25.2677777777778,-65.2372222222222
212942,2021-07-14,1.44,9410-2823,-25.2677777777778,-65.2372222222222
212943,2021-07-15,1.45,9410-2823,-25.2677777777778,-65.2372222222222
212944,2021-07-16,1.44,9410-2823,-25.2677777777778,-65.2372222222222
212945,2021-07-17,1.42,9410-2823,-25.2677777777778,-65.2372222222222
212946,2021-07-18,1.43,9410-2823,-25.2677777777778,-65.2372222222222
212947,2021-07-19,1.45,9410-2823,-25.2677777777778,-65.2372222222222
212948,2021-07-20,1.44,9410-2823,-25.2677777777778,-65.2372222222222
212949,2021-07-21,1.47,9410-2823,-25.2677777777778,-65.2372222222222
212950,2021-07-22,1.44,9410-2823,-25.2677777777778,-65.2372222222222
212951,2021-07-23,1.44,9410-2823,-25.2677777777778,-65.2372222222222
212952,2021-07-24,1.43,9410-2823,-25.2677777777778,-65.2372222222222
212953,2021-07-25,1.47,9410-2823,-25.2677777777778,-65.2372222222222
212954,2021-07-26,1.43,9410-2823,-25.2677777777778,-65.2372222222222
212955,2021-07-28,1.44,9410-2823,-25.2677777777778,-65.2372222222222
212956,2021-07-29,1.41,9410-2823,-25.2677777777778,-65.2372222222222
212957,2021-07-30,1.44,9410-2823,-25.2677777777778,-65.2372222222222
212958,2021-07-31,1.4,9410-2823,-25.2677777777778,-65.2372222222222
212959,2021-08-01,1.37,9410-2823,-25.2677777777778,-65.2372222222222
212960,2021-08-02,1.38,9410-2823,-25.2677777777778,-65.2372222222222
212961,2021-08-03,1.43,9410-2823,-25.2677777777778,-65.2372222222222
212962,2021-08-04,1.39,9410-2823,-25.2677777777778,-65.2372222222222
