,date,rio_id,lat,lon,altura_value,precipitaciones_value
133,2023-05-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
134,2023-05-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
135,2023-05-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
136,2023-05-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,2.2
137,2023-05-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
138,2023-05-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
139,2023-05-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
140,2023-05-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.2
141,2023-05-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,2.7
142,2023-05-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
143,2023-05-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
144,2023-05-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.4
145,2023-05-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
146,2023-05-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
147,2023-05-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
148,2023-05-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
149,2023-05-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
150,2023-05-31,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.1
151,2023-06-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
152,2023-06-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.5
153,2023-06-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
154,2023-06-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
155,2023-06-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
156,2023-06-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
157,2023-06-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
158,2023-06-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
159,2023-06-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.1
160,2023-06-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
161,2023-06-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
162,2023-06-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
163,2023-06-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
164,2023-06-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.1
165,2023-06-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
166,2023-06-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.1
167,2023-06-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
168,2023-06-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
169,2023-06-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,4.8
170,2023-06-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
171,2023-06-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
172,2023-06-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,2.0
173,2023-06-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,9.9
174,2023-06-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,9.6
175,2023-06-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,4.0
176,2023-06-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
177,2023-06-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
178,2023-06-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
179,2023-06-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
180,2023-06-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
181,2023-07-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
