date,rio_id,lat,lon,altura_value,precipitaciones_value
2023-07-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.8
2023-07-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-07-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-07-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-07-31,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.1
2023-08-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.0
2023-08-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-08-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,2.8
2023-08-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,0.1
2023-08-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.08,22.5
