date,dewpoint_temperature_2m,surface_pressure,surface_solar_radiation_downwards_sum,temperature_2m,u_component_of_wind_10m,v_component_of_wind_10m,localidad,lat_lon
2025-02-07,287.2714424133301,100743.36539713542,27370476.0,301.41383425394696,0.6921063264211019,-4.708212653795878,Bahía Blanca,"-38.7196, -62.2683"
2025-02-08,287.54149627685547,100808.32991536458,28690414.0,300.4470926920573,0.3383033275604248,-1.2938995361328125,Bahía Blanca,"-38.7196, -62.2683"
2025-02-09,281.20525614420575,101380.97932942708,28013860.0,296.2737045288086,-3.7731467882792153,-0.5215175549189249,Bahía Blanca,"-38.7196, -62.2683"
2025-02-10,285.7799072265625,100036.00846354167,26734546.0,302.14143625895184,2.906645973523458,-4.00144894917806,Bahía Blanca,"-38.7196, -62.2683"
2025-02-11,279.0609639485677,100684.01692708333,29112262.0,294.6910966237386,-1.6844310760498047,2.17634908358256,Bahía Blanca,"-38.7196, -62.2683"
2025-02-12,279.01956367492676,101083.29117838542,28825718.0,295.0101324717204,-2.262915929158529,-1.3012321790059407,Bahía Blanca,"-38.7196, -62.2683"
2025-02-13,284.3736267089844,101257.42545572917,26606752.0,297.38246472676593,-2.112574895222982,0.5221455097198486,Bahía Blanca,"-38.7196, -62.2683"
2025-02-14,284.72124099731445,100799.29052734375,17473160.0,298.15502802530926,0.12051328023274739,-2.278518040974935,Bahía Blanca,"-38.7196, -62.2683"
2025-02-15,287.0697600046794,100553.04720052083,27078230.0,297.46827634175617,1.6214650472005208,-1.804928461710612,Bahía Blanca,"-38.7196, -62.2683"
2025-02-16,286.46594619750977,100153.73030598958,27490560.0,297.3252118428548,1.5070686340332031,-0.07200940450032552,Bahía Blanca,"-38.7196, -62.2683"
2025-02-17,283.3154945373535,101058.8212890625,24509296.0,291.2417755126953,-2.266908645629883,3.4730345408121743,Bahía Blanca,"-38.7196, -62.2683"
2025-02-18,278.6241594950358,101332.42464192708,24577056.0,292.26779238382977,3.0694634914398193,-3.534168243408203,Bahía Blanca,"-38.7196, -62.2683"
2025-02-19,283.37017822265625,100373.36800130208,26611582.0,299.06050300598145,3.187678654988607,-6.218514760335286,Bahía Blanca,"-38.7196, -62.2683"
2025-02-20,289.50745073954266,100337.62158203125,21245568.0,300.77086639404297,2.215756098429362,-5.594140330950419,Bahía Blanca,"-38.7196, -62.2683"
2025-02-21,289.11696434020996,100623.9580078125,24710676.0,302.4085000356038,2.6166979471842446,-3.165670156478882,Bahía Blanca,"-38.7196, -62.2683"
2025-02-22,292.4922618865967,100639.95361328125,21524538.0,303.68414878845215,1.7334976196289062,-4.256156086921692,Bahía Blanca,"-38.7196, -62.2683"
2025-02-23,295.2858200073242,100560.2451171875,12758806.0,300.0084177652995,2.396949132283529,-2.4746186335881553,Bahía Blanca,"-38.7196, -62.2683"
2025-02-24,292.88790766398114,100513.31331380208,25464990.0,299.4855187733968,1.8302497863769531,-1.141207178433736,Bahía Blanca,"-38.7196, -62.2683"
2025-02-25,287.6898250579834,100755.4365234375,25918262.0,296.9197527567546,0.04489962259928385,-0.5266265869140625,Bahía Blanca,"-38.7196, -62.2683"
2025-02-26,286.4868691762288,101507.12418619792,22333870.0,294.4403616587321,-6.5633900960286455,2.166858673095703,Bahía Blanca,"-38.7196, -62.2683"
2025-02-27,287.7655378977458,101050.55159505208,9621750.0,294.4372253417969,-1.4792652130126953,-4.131306330362956,Bahía Blanca,"-38.7196, -62.2683"
2025-02-28,293.86883544921875,100565.80029296875,8552698.0,296.4760971069336,-1.063144048055013,0.10113461812337239,Bahía Blanca,"-38.7196, -62.2683"
2025-03-01,291.60370953877765,100561.16943359375,22261998.0,296.1791591644287,1.3879680633544922,0.1557916005452474,Bahía Blanca,"-38.7196, -62.2683"
2025-03-02,292.0380350748698,100887.51220703125,9723098.0,296.3806959788005,-0.49691776434580487,-4.157896677652995,Bahía Blanca,"-38.7196, -62.2683"
2025-03-03,292.5518805185954,100829.7109375,12081766.432861328,296.0051778157552,0.7939641078313192,-2.6642562548319497,Bahía Blanca,"-38.7196, -62.2683"
2025-03-04,293.41516876220703,100715.37288411458,7834937.66796875,296.1335366566976,0.885674794514974,-3.0197696685791016,Bahía Blanca,"-38.7196, -62.2683"
2025-03-05,294.4868812561035,100582.06852213542,7085317.84765625,296.86974334716797,0.4105050563812256,-2.3151725133260093,Bahía Blanca,"-38.7196, -62.2683"
2025-03-06,294.3513355255127,100552.52571614583,11332922.5625,297.5859826405843,-0.1363391876220703,-1.797262191772461,Bahía Blanca,"-38.7196, -62.2683"
2025-03-07,294.49569384257,100589.09635416667,2404893.6875,296.1832726796468,1.5129988193511963,-1.7416205406188965,Bahía Blanca,"-38.7196, -62.2683"
